     phi1       Phi      phi2
  77.9031   41.7447    264.97
    116.9   48.4247   264.139
  77.4304   48.1922   276.582
  130.841   26.2133   261.476
  134.409   34.4138   254.037
  86.0286    41.308   244.574
  61.7775   30.8298   269.187
  38.2015   37.0408   284.721
  107.943    75.815   256.538
  84.0511   43.0684   270.166
  92.7594   39.3409   250.339
  103.762   54.3047   264.762
  91.0776   58.4105   263.092
  102.954   44.2189    265.58
  66.6458   45.6579    262.67
  113.653   46.1741    267.66
  96.6399   41.0133   274.952
  117.616   41.4333   255.724
  106.293   38.5353   281.988
  86.4598   54.6329   268.827
  30.5265   42.5917   285.133
  114.214   47.8684   255.554
  61.6244   39.3929   260.423
  92.2866   46.4544   292.414
  119.364   44.5482   242.844
  148.344   45.6709   242.486
  98.6863   45.7736   252.639
  116.255   43.9553   274.817
  51.8067    41.163   259.251
   89.635   48.4444   298.596
  71.4779   33.7473   282.495
  125.139   44.1355   249.182
  65.9691   32.6355   265.583
  97.8583   34.9433   251.742
  69.9783   25.5187   252.305
  45.1376   47.8283   272.936
  61.6196    56.967   264.125
  77.4466   43.9625   253.549
  96.5833    36.146   270.881
   88.303   40.3231   233.596
  116.541   32.1174   257.545
  118.834   46.3558   267.444
  80.8704   41.7092   263.758
  88.2617   37.8687   280.105
  69.7244   53.5439   267.119
  133.291   53.8251   259.957
  47.4884   49.5112   268.848
  100.369   47.4709   265.948
  99.5368    27.878   246.688
  78.1978   42.4245   269.797
  126.001   54.5328    265.18
  92.5728   44.7473    287.52
  116.997   30.9816   275.181
  59.5003   42.0072   254.845
  99.4665   38.5611   274.282
  72.7648    51.117   255.496
  133.798   44.0094   261.843
  40.3525   52.4538   272.057
  92.8096   41.0544   237.401
  108.263   61.3592   260.199
  70.5932    55.387   244.105
  59.9464   46.4596   288.956
  45.2638   39.0845   272.664
  114.762    53.364    263.61
  85.0807   34.5147   254.077
  89.0987   51.5355   243.828
  108.042   41.6588   247.605
  124.762   40.3489   270.216
  102.318   38.0575   249.862
  121.169     47.29   273.433
  58.0143   37.3926   282.417
  118.049   38.0184   257.651
  53.0507   49.2642   266.226
  109.303   53.6289   282.041
  130.267   54.7399   270.741
  99.2064   54.3069   243.714
  99.5164   41.8222   239.159
  58.4333   59.3835   245.783
  74.9877   28.5892   283.891
  120.755   36.6617   261.528
  112.209   56.4432   268.664
  104.493    40.637   254.111
   63.685   49.3697    267.93
  76.4965   38.6652   262.298
  98.7069   46.7505   263.505
  48.8255   38.8733   266.599
  100.169   48.2325   264.244
  47.3082   38.3635   267.697
  131.768   59.4117   261.171
   133.54   52.1565   263.403
  117.063   50.3917   272.016
  134.887   41.0088   257.422
   134.06   38.5321   261.595
   44.565   47.9835    282.82
  58.8591   38.2561   252.957
  56.5388   51.2077   262.708
  137.366   45.9394   251.619
  59.2828    47.677   263.926
  96.4428   54.0662    246.34
  77.9412   42.3495   268.943
  88.8585   47.4556    256.07
  45.0342   47.8577   283.738
  80.3551   49.6553   254.903
   43.341   35.0057   272.039
  141.176   48.4463   240.549
   95.056   49.4737   276.526
  114.231   46.8221    262.97
  111.197    35.978   275.404
  98.4845   46.1271   277.426
  106.978   60.1762   251.247
  109.035   59.4281   273.222
  68.7441   61.2989   259.337
   99.421   63.9328   249.394
  80.9436   38.7686   284.095
  82.7462   40.7289   243.223
   72.768   34.2123   275.376
  122.532   62.6696   263.202
  51.9128    44.808   264.108
  71.0128   44.3117   279.323
  53.5204   57.1489   266.423
  94.6076   48.5951   284.431
  103.525   33.6372   256.039
  79.0053   40.9042   281.391
  77.3024   47.7051   267.778
  119.179   39.6327   251.236
  99.0516   50.7632   273.817
  24.3075   20.4116    293.51
  128.142   43.1257   251.814
   122.18   42.8827   273.319
  54.5081   39.6739   273.921
  54.3856   49.4987   276.983
  89.1117   46.8301   257.496
  62.0319   46.1147   261.651
   117.46   41.0357   283.724
   100.59   50.6197   267.565
  83.1191    35.478   248.624
  135.097   42.7225   227.861
  57.9371   60.3294   250.083
  146.389   43.6094   245.848
  82.4628   50.4824   281.687
  75.8953    35.557   300.855
  57.4947   60.0551   274.416
  56.1124   49.0712   250.273
  93.2483   39.7949    258.98
  113.171   47.4441   254.473
  135.534   48.8199   256.212
  124.006   55.7699   261.371
  43.5288   42.7368   268.881
   102.02   46.3327   264.746
